                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5249,                 2.0586,                  1.106,                0.64657,                0.76605,                0.64019,                0.39727,                 1.2643,                 1.6784,                 1.0398,             0.00047272,             0.00047272,             0.00047272
                      1,                 1.3611,                 1.0836,                 1.0179,                0.78705,                0.76482,                0.75365,                 0.5124,                 1.2151,                 1.6317,                 1.0108,              0.0009453,              0.0009453,              0.0009453
                      2,                 1.3584,                 1.0643,                 1.0249,                0.78001,                 0.8502,                0.78539,                 0.4687,                 1.4019,                  1.431,                 1.0825,              0.0014141,              0.0014141,              0.0014141
                      3,                 1.3286,                0.99815,                 1.0199,                0.84895,                0.81318,                0.82607,                0.57664,                 1.1808,                 1.0346,                 1.0298,               0.001412,               0.001412,               0.001412
                      4,                  1.261,                0.95588,                 1.0015,                0.85111,                 0.7775,                0.85865,                0.58065,                 1.2844,                0.98485,                 1.0537,               0.001412,               0.001412,               0.001412
                      5,                 1.2427,                0.91286,                0.99503,                0.87643,                0.85608,                0.87148,                0.60739,                 1.1601,                0.89711,                 1.0209,              0.0014064,              0.0014064,              0.0014064
                      6,                 1.2067,                0.89096,                0.98214,                0.80717,                0.84323,                0.80334,                0.56202,                 1.0751,                0.84814,                0.97541,              0.0014007,              0.0014007,              0.0014007
                      7,                  1.174,                0.86022,                0.97488,                0.87691,                0.83036,                0.84947,                0.60518,                 1.1279,                0.85026,                 1.0199,               0.001395,               0.001395,               0.001395
                      8,                 1.1539,                 0.8201,                0.96804,                0.86379,                0.86143,                0.86236,                0.61499,                 1.0657,                0.82615,                0.98405,              0.0013894,              0.0013894,              0.0013894
                      9,                 1.1411,                0.80637,                0.96488,                0.87396,                0.82658,                0.87322,                0.64371,                 1.0706,                0.81227,                0.99535,              0.0013837,              0.0013837,              0.0013837
                     10,                 1.1321,                0.80324,                0.96378,                0.88951,                0.86674,                0.86125,                0.62152,                 1.0469,                0.74356,                0.99069,              0.0013781,              0.0013781,              0.0013781
                     11,                 1.1148,                0.78726,                0.96203,                 0.8708,                0.87322,                0.85413,                0.62587,                 1.0603,                0.81353,                0.99171,              0.0013724,              0.0013724,              0.0013724
                     12,                 1.1055,                0.78292,                0.95729,                0.88539,                0.87194,                0.86415,                0.60453,                 1.0365,                0.75756,                0.98138,              0.0013668,              0.0013668,              0.0013668
